Solution,Cost
"[16, 9, 8, 22, 19, 25, 24, 17, 13, 23, 4, 5, 3, 6, 2, 1, 27, 12, 11, 21, 10, 26, 28, 14, 18, 33, 29, 31, 34, 32, 35, 30, 15, 7, 20]",129422.19999999998
"[7, 20, 16, 18, 30, 32, 31, 29, 33, 14, 28, 26, 12, 25, 19, 13, 24, 17, 10, 21, 11, 22, 8, 9, 27, 15, 23, 4, 5, 1, 6, 2, 3, 35, 34]",130777.7
"[9, 8, 22, 10, 21, 11, 26, 28, 14, 18, 33, 29, 31, 34, 32, 30, 35, 1, 6, 2, 3, 5, 4, 15, 7, 20, 13, 24, 17, 25, 19, 23, 16, 27, 12]",132465.50000000003
"[7, 20, 35, 30, 32, 34, 31, 29, 33, 18, 14, 10, 28, 11, 21, 26, 12, 25, 19, 13, 17, 27, 15, 23, 4, 5, 3, 6, 2, 1, 9, 16, 8, 22, 24]",130680.9
"[30, 35, 18, 28, 12, 25, 19, 17, 24, 13, 23, 1, 2, 6, 3, 5, 4, 32, 34, 31, 14, 11, 26, 21, 10, 8, 22, 15, 27, 7, 20, 9, 16, 33, 29]",134550.1
"[16, 15, 7, 20, 27, 25, 19, 17, 12, 26, 18, 29, 35, 30, 32, 34, 31, 33, 14, 28, 11, 21, 10, 8, 23, 4, 5, 3, 1, 2, 6, 9, 22, 24, 13]",131752.2
"[22, 8, 11, 21, 19, 25, 17, 24, 13, 12, 26, 10, 28, 14, 18, 33, 29, 31, 34, 32, 30, 35, 1, 2, 6, 3, 5, 4, 27, 7, 20, 9, 16, 23, 15]",131071.20000000001
"[16, 14, 18, 33, 29, 31, 34, 32, 35, 30, 5, 3, 2, 6, 1, 4, 23, 22, 21, 10, 11, 28, 26, 12, 19, 25, 17, 24, 13, 27, 15, 7, 20, 9, 8]",130989.9
"[22, 26, 12, 24, 17, 13, 27, 23, 15, 7, 20, 4, 5, 1, 2, 6, 3, 30, 35, 32, 34, 31, 29, 33, 18, 28, 14, 10, 11, 21, 8, 9, 16, 19, 25]",132345.49999999997
"[35, 30, 32, 34, 31, 29, 33, 16, 6, 2, 3, 4, 15, 23, 27, 13, 24, 17, 25, 19, 12, 26, 21, 28, 18, 14, 11, 10, 8, 22, 9, 7, 20, 5, 1]",195496.80000000005
